date_utc,Predicted_Physical_kW,Predicted_Hybrid_kW,Predicted_Hybrid_MW,Predicted_Physical_MW
2026-06-26 03:00:00+03:00,0.0,0.0,0.0,0.0
2026-06-26 03:15:00+03:00,0.0,0.0,0.0,0.0
2026-06-26 03:30:00+03:00,0.0,0.0,0.0,0.0
2026-06-26 03:45:00+03:00,0.0,0.0,0.0,0.0
2026-06-26 04:00:00+03:00,0.0,0.0,0.0,0.0
2026-06-26 04:15:00+03:00,0.0,0.0,0.0,0.0
2026-06-26 04:30:00+03:00,0.0,0.0,0.0,0.0
2026-06-26 04:45:00+03:00,0.0,0.0,0.0,0.0
2026-06-26 05:00:00+03:00,0.0,0.0,0.0,0.0
2026-06-26 05:15:00+03:00,0.0,0.0,0.0,0.0
2026-06-26 05:30:00+03:00,0.0,0.0,0.0,0.0
2026-06-26 05:45:00+03:00,0.0,0.0,0.0,0.0
2026-06-26 06:00:00+03:00,0.0,27.21170425415039,0.02721170425415039,0.0
2026-06-26 06:15:00+03:00,13.754193514152384,104.64347574071488,0.10464347574071488,0.013754193514152383
2026-06-26 06:30:00+03:00,72.91897627552737,200.75263258656253,0.20075263258656253,0.07291897627552738
2026-06-26 06:45:00+03:00,126.94586012588165,390.50262282119417,0.3905026228211942,0.12694586012588166
2026-06-26 07:00:00+03:00,165.51161988755962,496.9156421043565,0.4969156421043565,0.1655116198875596
2026-06-26 07:15:00+03:00,193.80932250036642,543.930812978882,0.543930812978882,0.19380932250036642
2026-06-26 07:30:00+03:00,238.48704819297114,601.8756590328148,0.6018756590328148,0.23848704819297115
2026-06-26 07:45:00+03:00,359.6778792716652,732.009605345884,0.732009605345884,0.35967787927166517
2026-06-26 08:00:00+03:00,536.1649783574082,958.4476932011582,0.9584476932011582,0.5361649783574083
2026-06-26 08:15:00+03:00,751.8176961291308,1189.9823994982714,1.1899823994982714,0.7518176961291309
2026-06-26 08:30:00+03:00,989.762012163822,1491.8505436579626,1.4918505436579625,0.989762012163822
2026-06-26 08:45:00+03:00,1241.2741819898183,1651.8152891675527,1.6518152891675526,1.2412741819898183
2026-06-26 09:00:00+03:00,1499.2957121881923,1892.128903106161,1.892128903106161,1.4992957121881922
2026-06-26 09:15:00+03:00,1753.3362604495926,2102.0365473148267,2.102036547314827,1.7533362604495926
2026-06-26 09:30:00+03:00,1995.4352421487106,2336.005371543242,2.3360053715432416,1.9954352421487105
2026-06-26 09:45:00+03:00,2225.6943540478974,2575.2065305615693,2.5752065305615695,2.2256943540478975
2026-06-26 10:00:00+03:00,2435.8134617812366,2686.7992558486194,2.6867992558486193,2.4358134617812364
2026-06-26 10:15:00+03:00,2628.2522843690617,2588.6659539552434,2.5886659539552435,2.628252284369062
2026-06-26 10:30:00+03:00,2803.5622397174284,2747.8192930926725,2.7478192930926726,2.8035622397174285
